ProductID,ProductName,SupplierID,CategoryID,UnitPrice,UnitsInStock,UnitsOnOrder,Sales by Category.CategoryName,Sales by Category.ProductSales,OrderID,Order Details.1.ProductID,Quantity,Categories.CategoryID,Categories.CategoryName,Omzet,OrderDate
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10522.0,1.0,40.0,1.0,Beverages,XDR720.00,1997-04-30
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10522.0,1.0,40.0,1.0,Beverages,XDR720.00,1997-04-30
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10522.0,1.0,40.0,1.0,Beverages,XDR720.00,1997-04-30
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10522.0,1.0,40.0,1.0,Beverages,XDR720.00,1997-04-30
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10526.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-05-05
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10526.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-05-05
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10526.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-05-05
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10526.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-05-05
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10576.0,1.0,10.0,1.0,Beverages,XDR180.00,1997-06-23
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10576.0,1.0,10.0,1.0,Beverages,XDR180.00,1997-06-23
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10576.0,1.0,10.0,1.0,Beverages,XDR180.00,1997-06-23
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10576.0,1.0,10.0,1.0,Beverages,XDR180.00,1997-06-23
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10590.0,1.0,20.0,1.0,Beverages,XDR360.00,1997-07-07
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10590.0,1.0,20.0,1.0,Beverages,XDR360.00,1997-07-07
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10590.0,1.0,20.0,1.0,Beverages,XDR360.00,1997-07-07
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10590.0,1.0,20.0,1.0,Beverages,XDR360.00,1997-07-07
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10609.0,1.0,3.0,1.0,Beverages,XDR54.00,1997-07-24
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10609.0,1.0,3.0,1.0,Beverages,XDR54.00,1997-07-24
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10609.0,1.0,3.0,1.0,Beverages,XDR54.00,1997-07-24
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10609.0,1.0,3.0,1.0,Beverages,XDR54.00,1997-07-24
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10611.0,1.0,6.0,1.0,Beverages,XDR108.00,1997-07-25
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10611.0,1.0,6.0,1.0,Beverages,XDR108.00,1997-07-25
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10611.0,1.0,6.0,1.0,Beverages,XDR108.00,1997-07-25
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10611.0,1.0,6.0,1.0,Beverages,XDR108.00,1997-07-25
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10628.0,1.0,25.0,1.0,Beverages,XDR450.00,1997-08-12
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10628.0,1.0,25.0,1.0,Beverages,XDR450.00,1997-08-12
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10628.0,1.0,25.0,1.0,Beverages,XDR450.00,1997-08-12
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10628.0,1.0,25.0,1.0,Beverages,XDR450.00,1997-08-12
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10646.0,1.0,15.0,1.0,Beverages,XDR270.00,1997-08-27
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10646.0,1.0,15.0,1.0,Beverages,XDR270.00,1997-08-27
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10646.0,1.0,15.0,1.0,Beverages,XDR270.00,1997-08-27
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10646.0,1.0,15.0,1.0,Beverages,XDR270.00,1997-08-27
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10689.0,1.0,35.0,1.0,Beverages,XDR630.00,1997-10-01
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10689.0,1.0,35.0,1.0,Beverages,XDR630.00,1997-10-01
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10689.0,1.0,35.0,1.0,Beverages,XDR630.00,1997-10-01
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10689.0,1.0,35.0,1.0,Beverages,XDR630.00,1997-10-01
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10691.0,1.0,30.0,1.0,Beverages,XDR540.00,1997-10-03
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10691.0,1.0,30.0,1.0,Beverages,XDR540.00,1997-10-03
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10691.0,1.0,30.0,1.0,Beverages,XDR540.00,1997-10-03
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10691.0,1.0,30.0,1.0,Beverages,XDR540.00,1997-10-03
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10700.0,1.0,5.0,1.0,Beverages,XDR90.00,1997-10-10
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10700.0,1.0,5.0,1.0,Beverages,XDR90.00,1997-10-10
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10700.0,1.0,5.0,1.0,Beverages,XDR90.00,1997-10-10
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10700.0,1.0,5.0,1.0,Beverages,XDR90.00,1997-10-10
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10729.0,1.0,50.0,1.0,Beverages,XDR900.00,1997-11-04
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10729.0,1.0,50.0,1.0,Beverages,XDR900.00,1997-11-04
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10729.0,1.0,50.0,1.0,Beverages,XDR900.00,1997-11-04
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10729.0,1.0,50.0,1.0,Beverages,XDR900.00,1997-11-04
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10752.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-11-24
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10752.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-11-24
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10752.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-11-24
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10752.0,1.0,8.0,1.0,Beverages,XDR144.00,1997-11-24
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10838.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-01-19
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10838.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-01-19
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10838.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-01-19
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10838.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-01-19
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10847.0,1.0,80.0,1.0,Beverages,"XDR1,440.00",1998-01-22
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10847.0,1.0,80.0,1.0,Beverages,"XDR1,440.00",1998-01-22
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10847.0,1.0,80.0,1.0,Beverages,"XDR1,440.00",1998-01-22
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10847.0,1.0,80.0,1.0,Beverages,"XDR1,440.00",1998-01-22
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10863.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-02
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10863.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-02
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10863.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-02
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10863.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-02
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10869.0,1.0,40.0,1.0,Beverages,XDR720.00,1998-02-04
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10869.0,1.0,40.0,1.0,Beverages,XDR720.00,1998-02-04
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10869.0,1.0,40.0,1.0,Beverages,XDR720.00,1998-02-04
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10869.0,1.0,40.0,1.0,Beverages,XDR720.00,1998-02-04
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10905.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-24
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10905.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-24
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10905.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-24
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10905.0,1.0,20.0,1.0,Beverages,XDR360.00,1998-02-24
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10911.0,1.0,10.0,1.0,Beverages,XDR180.00,1998-02-26
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10911.0,1.0,10.0,1.0,Beverages,XDR180.00,1998-02-26
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10911.0,1.0,10.0,1.0,Beverages,XDR180.00,1998-02-26
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10911.0,1.0,10.0,1.0,Beverages,XDR180.00,1998-02-26
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10918.0,1.0,60.0,1.0,Beverages,"XDR1,080.00",1998-03-02
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10918.0,1.0,60.0,1.0,Beverages,"XDR1,080.00",1998-03-02
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10918.0,1.0,60.0,1.0,Beverages,"XDR1,080.00",1998-03-02
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10918.0,1.0,60.0,1.0,Beverages,"XDR1,080.00",1998-03-02
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",10935.0,1.0,21.0,1.0,Beverages,XDR378.00,1998-03-09
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",10935.0,1.0,21.0,1.0,Beverages,XDR378.00,1998-03-09
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",10935.0,1.0,21.0,1.0,Beverages,XDR378.00,1998-03-09
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",10935.0,1.0,21.0,1.0,Beverages,XDR378.00,1998-03-09
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",11003.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-04-06
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",11003.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-04-06
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",11003.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-04-06
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",11003.0,1.0,4.0,1.0,Beverages,XDR72.00,1998-04-06
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",11005.0,1.0,2.0,1.0,Beverages,XDR36.00,1998-04-07
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",11005.0,1.0,2.0,1.0,Beverages,XDR36.00,1998-04-07
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",11005.0,1.0,2.0,1.0,Beverages,XDR36.00,1998-04-07
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",11005.0,1.0,2.0,1.0,Beverages,XDR36.00,1998-04-07
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",11006.0,1.0,8.0,1.0,Beverages,XDR144.00,1998-04-07
35.0,Steeleye Stout,16.0,1.0,XDR18.00,20.0,0.0,Beverages,"XDR5,274.90",11006.0,1.0,8.0,1.0,Beverages,XDR144.00,1998-04-07
39.0,Chartreuse verte,18.0,1.0,XDR18.00,69.0,0.0,Beverages,"XDR4,475.70",11006.0,1.0,8.0,1.0,Beverages,XDR144.00,1998-04-07
76.0,Lakkalikööri,23.0,1.0,XDR18.00,57.0,0.0,Beverages,"XDR7,379.10",11006.0,1.0,8.0,1.0,Beverages,XDR144.00,1998-04-07
1.0,Chai,1.0,1.0,XDR18.00,39.0,0.0,Beverages,"XDR4,887.00",11025.0,1.0,10.0,1.0,Beverages,XDR180.00,1998-04-15
